date_x,season,team_x,opponent,team_score,opp_score,wteam,lteam,home_away,result,team_win_pct,team_win_streak,team_loss_streak,team_wins,team_losses,team_record,game_key,oppo_game_key_x,matchup_key_x,team_bdb,opponent_bdb,game_id,date_y,team_y,venue,team_runs,closing_moneyline,closing_runline,team_opponent_x,oppo_game_key_y,matchup_key_y,team_code,opponent_code,was_favorite,covered_runline,matchup_key,team_opponent_y,opponent_score,won_as_underdog,roi_$100_bet,total_runs,closing_total,hit_over
6/20/24,2024,ARI,WSN,5,2,ARI,WSN,away,W,0.486486486,0,1,36,38,36-38,2024-06-20_ARI_WSN,2024-06-20_WSN_ARI,2024-06-20_ARI_WSN,ARI,,45463-ARI@WSN-1,6/20/24,ARIZONA DIAMONDBACKS,road,5,118,,WASHINGTON NATIONALS,2024-06-20_WASHINGTON NATIONALS_ARIZONA DIAMONDBACKS,2024-06-20_ARIZONA DIAMONDBACKS_WASHINGTON NATIONALS,ARI,WSN,FALSE,,2024-06-20_ARI_WSN,WSN,2,TRUE,118,7,9,FALSE
6/21/24,2024,ARI,PHI,5,4,ARI,PHI,away,W,0.493333333,1,0,37,38,37-38,2024-06-21_ARI_PHI,2024-06-21_PHI_ARI,2024-06-21_ARI_PHI,ARI,PHI,45464-ARI@PHI-1,6/21/24,ARIZONA DIAMONDBACKS,road,5,120,,PHILADELPHIA PHILLIES,2024-06-21_PHILADELPHIA PHILLIES_ARIZONA DIAMONDBACKS,2024-06-21_ARIZONA DIAMONDBACKS_PHILADELPHIA PHILLIES,ARI,PHI,FALSE,,2024-06-21_ARI_PHI,PHI,4,TRUE,120,9,9.5,FALSE
6/22/24,2024,ARI,PHI,1,12,PHI,ARI,away,L,0.5,2,0,38,38,38-38,2024-06-22_ARI_PHI,2024-06-22_PHI_ARI,2024-06-22_ARI_PHI,ARI,PHI,45465-ARI@PHI-1,6/22/24,ARIZONA DIAMONDBACKS,road,1,220,,PHILADELPHIA PHILLIES,2024-06-22_PHILADELPHIA PHILLIES_ARIZONA DIAMONDBACKS,2024-06-22_ARIZONA DIAMONDBACKS_PHILADELPHIA PHILLIES,ARI,PHI,FALSE,,2024-06-22_ARI_PHI,PHI,12,FALSE,-100,13,9.5,TRUE
6/23/24,2024,ARI,PHI,1,4,PHI,ARI,away,L,0.493506494,0,1,38,39,38-39,2024-06-23_ARI_PHI,2024-06-23_PHI_ARI,2024-06-23_ARI_PHI,ARI,PHI,45466-ARI@PHI-1,6/23/24,ARIZONA DIAMONDBACKS,road,1,200,,PHILADELPHIA PHILLIES,2024-06-23_PHILADELPHIA PHILLIES_ARIZONA DIAMONDBACKS,2024-06-23_ARIZONA DIAMONDBACKS_PHILADELPHIA PHILLIES,ARI,PHI,FALSE,,2024-06-23_ARI_PHI,PHI,4,FALSE,-100,5,9.5,FALSE
6/25/24,2024,ARI,MIN,5,4,ARI,MIN,home,W,0.487179487,0,2,38,40,38-40,2024-06-25_ARI_MIN,2024-06-25_MIN_ARI,2024-06-25_ARI_MIN,ARI,MIN,45468-MIN@ARI-1,6/25/24,ARIZONA DIAMONDBACKS,home,5,110,,MINNESOTA TWINS,2024-06-25_MINNESOTA TWINS_ARIZONA DIAMONDBACKS,2024-06-25_ARIZONA DIAMONDBACKS_MINNESOTA TWINS,ARI,MIN,FALSE,,2024-06-25_ARI_MIN,MIN,4,TRUE,110,9,7.5,TRUE
6/26/24,2024,ARI,MIN,3,8,MIN,ARI,home,L,0.493670886,1,0,39,40,39-40,2024-06-26_ARI_MIN,2024-06-26_MIN_ARI,2024-06-26_ARI_MIN,ARI,MIN,45469-MIN@ARI-1,6/26/24,ARIZONA DIAMONDBACKS,home,3,104,,MINNESOTA TWINS,2024-06-26_MINNESOTA TWINS_ARIZONA DIAMONDBACKS,2024-06-26_ARIZONA DIAMONDBACKS_MINNESOTA TWINS,ARI,MIN,FALSE,,2024-06-26_ARI_MIN,MIN,8,FALSE,-100,11,9,TRUE
6/27/24,2024,ARI,MIN,6,13,MIN,ARI,home,L,0.4875,0,1,39,41,39-41,2024-06-27_ARI_MIN,2024-06-27_MIN_ARI,2024-06-27_ARI_MIN,ARI,MIN,45470-MIN@ARI-1,6/27/24,ARIZONA DIAMONDBACKS,home,6,-100,,MINNESOTA TWINS,2024-06-27_MINNESOTA TWINS_ARIZONA DIAMONDBACKS,2024-06-27_ARIZONA DIAMONDBACKS_MINNESOTA TWINS,ARI,MIN,TRUE,,2024-06-27_ARI_MIN,MIN,13,FALSE,-100,19,8.5,TRUE
6/28/24,2024,ARI,OAK,4,9,OAK,ARI,home,L,0.481481481,0,2,39,42,39-42,2024-06-28_ARI_OAK,2024-06-28_OAK_ARI,2024-06-28_ARI_OAK,ARI,OAK,45471-OAK@ARI-1,6/28/24,ARIZONA DIAMONDBACKS,home,4,-174,,OAKLAND ATHLETICS,2024-06-28_OAKLAND ATHLETICS_ARIZONA DIAMONDBACKS,2024-06-28_ARIZONA DIAMONDBACKS_OAKLAND ATHLETICS,ARI,OAK,TRUE,,2024-06-28_ARI_OAK,OAK,9,FALSE,-100,13,9,TRUE
6/29/24,2024,ARI,OAK,3,0,ARI,OAK,home,W,0.475609756,0,3,39,43,39-43,2024-06-29_ARI_OAK,2024-06-29_OAK_ARI,2024-06-29_ARI_OAK,ARI,OAK,45472-OAK@ARI-1,6/29/24,ARIZONA DIAMONDBACKS,home,3,-198,,OAKLAND ATHLETICS,2024-06-29_OAKLAND ATHLETICS_ARIZONA DIAMONDBACKS,2024-06-29_ARIZONA DIAMONDBACKS_OAKLAND ATHLETICS,ARI,OAK,TRUE,,2024-06-29_ARI_OAK,OAK,0,FALSE,50.51,3,8.5,FALSE
6/30/24,2024,ARI,OAK,5,1,ARI,OAK,home,W,0.481927711,1,0,40,43,40-43,2024-06-30_ARI_OAK,2024-06-30_OAK_ARI,2024-06-30_ARI_OAK,ARI,OAK,45473-OAK@ARI-1,6/30/24,ARIZONA DIAMONDBACKS,home,5,-198,,OAKLAND ATHLETICS,2024-06-30_OAKLAND ATHLETICS_ARIZONA DIAMONDBACKS,2024-06-30_ARIZONA DIAMONDBACKS_OAKLAND ATHLETICS,ARI,OAK,TRUE,,2024-06-30_ARI_OAK,OAK,1,FALSE,50.51,6,8.5,FALSE
7/8/24,2024,ARI,ATL,4,5,ATL,ARI,home,L,0.5,2,0,45,45,45-45,2024-07-08_ARI_ATL,2024-07-08_ATL_ARI,2024-07-08_ARI_ATL,ARI,ATL,45481-ATL@ARI-1,7/8/24,ARIZONA DIAMONDBACKS,home,4,-100,,ATLANTA BRAVES,2024-07-08_ATLANTA BRAVES_ARIZONA DIAMONDBACKS,2024-07-08_ARIZONA DIAMONDBACKS_ATLANTA BRAVES,ARI,ATL,TRUE,,2024-07-08_ARI_ATL,ATL,5,FALSE,-100,9,9,FALSE
7/9/24,2024,ARI,ATL,2,6,ATL,ARI,home,L,0.494505495,0,1,45,46,45-46,2024-07-09_ARI_ATL,2024-07-09_ATL_ARI,2024-07-09_ARI_ATL,ARI,ATL,45482-ATL@ARI-1,7/9/24,ARIZONA DIAMONDBACKS,home,2,102,,ATLANTA BRAVES,2024-07-09_ATLANTA BRAVES_ARIZONA DIAMONDBACKS,2024-07-09_ARIZONA DIAMONDBACKS_ATLANTA BRAVES,ARI,ATL,FALSE,,2024-07-09_ARI_ATL,ATL,6,FALSE,-100,8,7.5,TRUE
7/10/24,2024,ARI,ATL,7,5,ARI,ATL,home,W,0.489130435,0,2,45,47,45-47,2024-07-10_ARI_ATL,2024-07-10_ATL_ARI,2024-07-10_ARI_ATL,ARI,ATL,45483-ATL@ARI-1,7/10/24,ARIZONA DIAMONDBACKS,home,7,-116,,ATLANTA BRAVES,2024-07-10_ATLANTA BRAVES_ARIZONA DIAMONDBACKS,2024-07-10_ARIZONA DIAMONDBACKS_ATLANTA BRAVES,ARI,ATL,TRUE,,2024-07-10_ARI_ATL,ATL,5,FALSE,86.21,12,8.5,TRUE
7/11/24,2024,ARI,ATL,1,0,ARI,ATL,home,W,0.494623656,1,0,46,47,46-47,2024-07-11_ARI_ATL,2024-07-11_ATL_ARI,2024-07-11_ARI_ATL,ARI,ATL,45484-ATL@ARI-1,7/11/24,ARIZONA DIAMONDBACKS,home,1,-100,,ATLANTA BRAVES,2024-07-11_ATLANTA BRAVES_ARIZONA DIAMONDBACKS,2024-07-11_ARIZONA DIAMONDBACKS_ATLANTA BRAVES,ARI,ATL,TRUE,,2024-07-11_ARI_ATL,ATL,0,FALSE,100,1,8,FALSE
7/12/24,2024,ARI,TOR,5,4,ARI,TOR,home,W,0.5,2,0,47,47,47-47,2024-07-12_ARI_TOR,2024-07-12_TOR_ARI,2024-07-12_ARI_TOR,ARI,TOR,45485-TOR@ARI-1,7/12/24,ARIZONA DIAMONDBACKS,home,5,-130,,TORONTO BLUE JAYS,2024-07-12_TORONTO BLUE JAYS_ARIZONA DIAMONDBACKS,2024-07-12_ARIZONA DIAMONDBACKS_TORONTO BLUE JAYS,ARI,TOR,TRUE,,2024-07-12_ARI_TOR,TOR,4,FALSE,76.92,9,9,FALSE
7/13/24,2024,ARI,TOR,12,1,ARI,TOR,home,W,0.505263158,3,0,48,47,48-47,2024-07-13_ARI_TOR,2024-07-13_TOR_ARI,2024-07-13_ARI_TOR,ARI,TOR,45486-TOR@ARI-1,7/13/24,ARIZONA DIAMONDBACKS,home,12,-135,,TORONTO BLUE JAYS,2024-07-13_TORONTO BLUE JAYS_ARIZONA DIAMONDBACKS,2024-07-13_ARIZONA DIAMONDBACKS_TORONTO BLUE JAYS,ARI,TOR,TRUE,,2024-07-13_ARI_TOR,TOR,1,FALSE,74.07,13,9,TRUE
7/14/24,2024,ARI,TOR,7,8,TOR,ARI,home,L,0.510416667,4,0,49,47,49-47,2024-07-14_ARI_TOR,2024-07-14_TOR_ARI,2024-07-14_ARI_TOR,ARI,TOR,45487-TOR@ARI-1,7/14/24,ARIZONA DIAMONDBACKS,home,7,-160,,TORONTO BLUE JAYS,2024-07-14_TORONTO BLUE JAYS_ARIZONA DIAMONDBACKS,2024-07-14_ARIZONA DIAMONDBACKS_TORONTO BLUE JAYS,ARI,TOR,TRUE,,2024-07-14_ARI_TOR,TOR,8,FALSE,-100,15,8,TRUE
7/22/24,2024,ARI,KCR,4,10,KCR,ARI,away,L,0.51,0,1,51,49,51-49,2024-07-22_ARI_KCR,2024-07-22_KCR_ARI,2024-07-22_ARI_KCR,ARI,,45495-ARI@KCR-1,7/22/24,ARIZONA DIAMONDBACKS,road,4,135,,KANSAS CITY ROYALS,2024-07-22_KANSAS CITY ROYALS_ARIZONA DIAMONDBACKS,2024-07-22_ARIZONA DIAMONDBACKS_KANSAS CITY ROYALS,ARI,KCR,FALSE,,2024-07-22_ARI_KCR,KCR,10,FALSE,-100,14,8.5,TRUE
7/23/24,2024,ARI,KCR,6,2,ARI,KCR,away,W,0.504950495,0,2,51,50,51-50,2024-07-23_ARI_KCR,2024-07-23_KCR_ARI,2024-07-23_ARI_KCR,ARI,,45496-ARI@KCR-1,7/23/24,ARIZONA DIAMONDBACKS,road,6,-110,,KANSAS CITY ROYALS,2024-07-23_KANSAS CITY ROYALS_ARIZONA DIAMONDBACKS,2024-07-23_ARIZONA DIAMONDBACKS_KANSAS CITY ROYALS,ARI,KCR,TRUE,,2024-07-23_ARI_KCR,KCR,2,FALSE,90.91,8,9.5,FALSE
7/24/24,2024,ARI,KCR,8,6,ARI,KCR,away,W,0.509803922,1,0,52,50,52-50,2024-07-24_ARI_KCR,2024-07-24_KCR_ARI,2024-07-24_ARI_KCR,ARI,,45497-ARI@KCR-1,7/24/24,ARIZONA DIAMONDBACKS,road,8,-105,,KANSAS CITY ROYALS,2024-07-24_KANSAS CITY ROYALS_ARIZONA DIAMONDBACKS,2024-07-24_ARIZONA DIAMONDBACKS_KANSAS CITY ROYALS,ARI,KCR,TRUE,,2024-07-24_ARI_KCR,KCR,6,FALSE,95.24,14,9,TRUE
7/26/24,2024,ARI,PIT,4,3,ARI,PIT,home,W,0.514563107,2,0,53,50,53-50,2024-07-26_ARI_PIT,2024-07-26_PIT_ARI,2024-07-26_ARI_PIT,ARI,PIT,45499-PIT@ARI-1,7/26/24,ARIZONA DIAMONDBACKS,home,4,-175,,PITTSBURGH PIRATES,2024-07-26_PITTSBURGH PIRATES_ARIZONA DIAMONDBACKS,2024-07-26_ARIZONA DIAMONDBACKS_PITTSBURGH PIRATES,ARI,PIT,TRUE,,2024-07-26_ARI_PIT,PIT,3,FALSE,57.14,7,8.5,FALSE
7/27/24,2024,ARI,PIT,9,5,ARI,PIT,home,W,0.519230769,3,0,54,50,54-50,2024-07-27_ARI_PIT,2024-07-27_PIT_ARI,2024-07-27_ARI_PIT,ARI,PIT,45500-PIT@ARI-1,7/27/24,ARIZONA DIAMONDBACKS,home,9,-185,,PITTSBURGH PIRATES,2024-07-27_PITTSBURGH PIRATES_ARIZONA DIAMONDBACKS,2024-07-27_ARIZONA DIAMONDBACKS_PITTSBURGH PIRATES,ARI,PIT,TRUE,,2024-07-27_ARI_PIT,PIT,5,FALSE,54.05,14,8,TRUE
7/28/24,2024,ARI,PIT,5,6,PIT,ARI,home,L,0.523809524,4,0,55,50,55-50,2024-07-28_ARI_PIT,2024-07-28_PIT_ARI,2024-07-28_ARI_PIT,ARI,PIT,45501-PIT@ARI-1,7/28/24,ARIZONA DIAMONDBACKS,home,5,-116,,PITTSBURGH PIRATES,2024-07-28_PITTSBURGH PIRATES_ARIZONA DIAMONDBACKS,2024-07-28_ARIZONA DIAMONDBACKS_PITTSBURGH PIRATES,ARI,PIT,TRUE,,2024-07-28_ARI_PIT,PIT,6,FALSE,-100,11,8.5,TRUE
7/29/24,2024,ARI,WSN,9,8,ARI,WSN,home,W,0.518867925,0,1,55,51,55-51,2024-07-29_ARI_WSN,2024-07-29_WSN_ARI,2024-07-29_ARI_WSN,ARI,,45502-WSN@ARI-1,7/29/24,ARIZONA DIAMONDBACKS,home,9,-172,,WASHINGTON NATIONALS,2024-07-29_WASHINGTON NATIONALS_ARIZONA DIAMONDBACKS,2024-07-29_ARIZONA DIAMONDBACKS_WASHINGTON NATIONALS,ARI,WSN,TRUE,,2024-07-29_ARI_WSN,WSN,8,FALSE,58.14,17,9,TRUE
7/30/24,2024,ARI,WSN,17,0,ARI,WSN,home,W,0.523364486,1,0,56,51,56-51,2024-07-30_ARI_WSN,2024-07-30_WSN_ARI,2024-07-30_ARI_WSN,ARI,,45503-WSN@ARI-1,7/30/24,ARIZONA DIAMONDBACKS,home,17,-166,,WASHINGTON NATIONALS,2024-07-30_WASHINGTON NATIONALS_ARIZONA DIAMONDBACKS,2024-07-30_ARIZONA DIAMONDBACKS_WASHINGTON NATIONALS,ARI,WSN,TRUE,,2024-07-30_ARI_WSN,WSN,0,FALSE,60.24,17,9,TRUE
7/31/24,2024,ARI,WSN,5,4,ARI,WSN,home,W,0.527777778,2,0,57,51,57-51,2024-07-31_ARI_WSN,2024-07-31_WSN_ARI,2024-07-31_ARI_WSN,ARI,,45504-WSN@ARI-1,7/31/24,ARIZONA DIAMONDBACKS,home,5,-184,,WASHINGTON NATIONALS,2024-07-31_WASHINGTON NATIONALS_ARIZONA DIAMONDBACKS,2024-07-31_ARIZONA DIAMONDBACKS_WASHINGTON NATIONALS,ARI,WSN,TRUE,,2024-07-31_ARI_WSN,WSN,4,FALSE,54.35,9,8,TRUE
8/2/24,2024,ARI,PIT,9,8,ARI,PIT,away,W,0.532110092,3,0,58,51,58-51,2024-08-02_ARI_PIT,2024-08-02_PIT_ARI,2024-08-02_ARI_PIT,ARI,PIT,45506-ARI@PIT-1,8/2/24,ARIZONA DIAMONDBACKS,road,9,-134,,PITTSBURGH PIRATES,2024-08-02_PITTSBURGH PIRATES_ARIZONA DIAMONDBACKS,2024-08-02_ARIZONA DIAMONDBACKS_PITTSBURGH PIRATES,ARI,PIT,TRUE,,2024-08-02_ARI_PIT,PIT,8,FALSE,74.63,17,8.5,TRUE
8/3/24,2024,ARI,PIT,2,4,PIT,ARI,away,L,0.536363636,4,0,59,51,59-51,2024-08-03_ARI_PIT,2024-08-03_PIT_ARI,2024-08-03_ARI_PIT,ARI,PIT,45507-ARI@PIT-1,8/3/24,ARIZONA DIAMONDBACKS,road,2,-100,,PITTSBURGH PIRATES,2024-08-03_PITTSBURGH PIRATES_ARIZONA DIAMONDBACKS,2024-08-03_ARIZONA DIAMONDBACKS_PITTSBURGH PIRATES,ARI,PIT,TRUE,,2024-08-03_ARI_PIT,PIT,4,FALSE,-100,6,8.5,FALSE
8/4/24,2024,ARI,PIT,6,5,ARI,PIT,away,W,0.531531532,0,1,59,52,59-52,2024-08-04_ARI_PIT,2024-08-04_PIT_ARI,2024-08-04_ARI_PIT,ARI,PIT,45508-ARI@PIT-1,8/4/24,ARIZONA DIAMONDBACKS,road,6,140,,PITTSBURGH PIRATES,2024-08-04_PITTSBURGH PIRATES_ARIZONA DIAMONDBACKS,2024-08-04_ARIZONA DIAMONDBACKS_PITTSBURGH PIRATES,ARI,PIT,FALSE,,2024-08-04_ARI_PIT,PIT,5,TRUE,140,11,7.5,TRUE
8/5/24,2024,ARI,CLE,7,6,ARI,CLE,away,W,0.535714286,1,0,60,52,60-52,2024-08-05_ARI_CLE,2024-08-05_CLE_ARI,2024-08-05_ARI_CLE,ARI,CLE,45509-ARI@CLE-1,8/5/24,ARIZONA DIAMONDBACKS,road,7,-118,,CLEVELAND GUARDIANS,2024-08-05_CLEVELAND GUARDIANS_ARIZONA DIAMONDBACKS,2024-08-05_ARIZONA DIAMONDBACKS_CLEVELAND GUARDIANS,ARI,CLE,TRUE,,2024-08-05_ARI_CLE,CLE,6,FALSE,84.75,13,8.5,TRUE
8/7/24,2024,ARI,CLE,7,3,ARI,CLE,away,W,0.539823009,2,0,61,52,61-52,2024-08-07_ARI_CLE,2024-08-07_CLE_ARI,2024-08-07_ARI_CLE,ARI,CLE,45511-ARI@CLE-1,8/7/24,ARIZONA DIAMONDBACKS,road,7,-102,,CLEVELAND GUARDIANS,2024-08-07_CLEVELAND GUARDIANS_ARIZONA DIAMONDBACKS,2024-08-07_ARIZONA DIAMONDBACKS_CLEVELAND GUARDIANS,ARI,CLE,TRUE,,2024-08-07_ARI_CLE,CLE,3,FALSE,98.04,10,8.5,TRUE
